"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","663","Should create a user todo for the specified user","Tests for the creation and requesting of user Todos","Fri Nov 22 08:20:47 GMT 2024","passed","Fri Nov 22 08:20:48 GMT 2024","","","",""
"","890","Create user post request should create a post for the specified user","Tests for the creation of user posts & comments","Fri Nov 22 08:20:45 GMT 2024","passed","Fri Nov 22 08:20:46 GMT 2024","","","",""
"","447","Create user request should create a new user","Tests for the creation and amending of Users, with","Fri Nov 22 08:20:45 GMT 2024","passed","Fri Nov 22 08:20:45 GMT 2024","","","",""
"","1006","Deleting the user should remove the created user","Tests for the creation and amending of Users, with","Fri Nov 22 08:20:48 GMT 2024","passed","Fri Nov 22 08:20:49 GMT 2024","","","",""
"","353","Should return list of users, custom (20 per page) pagination","Tests for the querying of existing users","Fri Nov 22 08:20:45 GMT 2024","passed","Fri Nov 22 08:20:46 GMT 2024","","","",""
"","278","Should fail due to invalid bearer token","Tests for the querying of existing users","Fri Nov 22 08:20:46 GMT 2024","passed","Fri Nov 22 08:20:47 GMT 2024","","","",""
"","1067","Create user post comment request should create a user comment on the specified user post","Tests for the creation of user posts & comments","Fri Nov 22 08:20:46 GMT 2024","passed","Fri Nov 22 08:20:47 GMT 2024","","","",""
"","1139","should request a created user todo","Tests for the creation and requesting of user Todos","Fri Nov 22 08:20:48 GMT 2024","passed","Fri Nov 22 08:20:49 GMT 2024","","","",""
"","369","Should return a filter list of 4 users, based on filtering by name","Tests for the querying of existing users","Fri Nov 22 08:20:46 GMT 2024","passed","Fri Nov 22 08:20:46 GMT 2024","","","",""
"","691","Updating a user's name should return the updated user details","Tests for the creation and amending of Users, with","Fri Nov 22 08:20:47 GMT 2024","passed","Fri Nov 22 08:20:47 GMT 2024","","","",""
"","294","Create user request should fail due to invalid bearer token","Tests for the creation and amending of Users, with","Fri Nov 22 08:20:47 GMT 2024","passed","Fri Nov 22 08:20:48 GMT 2024","","","",""
"","373","Should return a filter list of 1 users, based on filtering by email","Tests for the querying of existing users","Fri Nov 22 08:20:46 GMT 2024","passed","Fri Nov 22 08:20:46 GMT 2024","","","",""
"","705","Create user request should fail if the email address has been used previously","Tests for the creation and amending of Users, with","Fri Nov 22 08:20:46 GMT 2024","passed","Fri Nov 22 08:20:47 GMT 2024","","","",""
"","663","requesting a specific user should return expected user details","Tests for the creation and amending of Users, with","Fri Nov 22 08:20:45 GMT 2024","passed","Fri Nov 22 08:20:46 GMT 2024","","","",""
"","941","Deleting the user should fail if invalid auth token","Tests for the creation and amending of Users, with","Fri Nov 22 08:20:49 GMT 2024","passed","Fri Nov 22 08:20:50 GMT 2024","","","",""
"","506","Should return list of users, default (10 per page) pagination","Tests for the querying of existing users","Fri Nov 22 08:20:45 GMT 2024","passed","Fri Nov 22 08:20:45 GMT 2024","","","",""
